Rank,Name,Link,Subscribers (millions),Primary language,Category,Country
1,T-Series,Link,254,Hindi[7][8],Music,India
2,MrBeast,Link,217,English,Entertainment,United States
3,Cocomelon,Link,168,English,Education,United States
4,Sony Entertainment Television India,Link,165,Hindi[9],Entertainment,India
5,Kids Diana Show,Link,116,English[10][11][12],Entertainment,Germany/ Canada
6,PewDiePie,Link,111,English,Entertainment,Sweden/ Japan
7,Like Nastya,Link,110,English,Entertainment,Russia/ United States
8,Vlad and Niki,Link,105,English,Entertainment,Russia/ United States
9,Zee Music Company,Link,102,Hindi[13][14],Music,India
10,WWE,Link,98.3,English,Sports,United States
11,Goldmines,Link,92.3,Hindi,Film,India
12,Blackpink,Link,92.2,Korean,Music,South Korea
13,Sony SAB,Link,87.4,Hindi,Entertainment,India
14,5-Minute Crafts,Link,80.4,English,How-to,Cyprus[a]
15,BangtanTV,Link,76.9,Korean,Music,South Korea
16,Zee TV,Link,74.8,Hindi,Entertainment,India
17,Hybe Labels,Link,73.5,Korean,Music,South Korea
18,Justin Bieber,Link,72.2,English,Music,Canada
19,Pinkfong,Link,71.2,English,Education,South Korea
20,ChuChu TV Nursery Rhymes & Kids Songs,Link,68.9,Hindi[16],Education,India
21,Colors TV,Link,68.8,Hindi,Entertainment,India
22,Shemaroo Entertainment,Link,67,Hindi,Music,India
23,Canal KondZilla,Link,66.7,Portuguese,Music,Brazil
24,T-Series Bhakti Sagar,Link,64.6,Hindi,Music,India
25,Tips Official,Link,62.4,Hindi,Entertainment,India
26,El Reino Infantil,Link,61.2,Spanish,Music,Argentina
27,Movieclips,Link,60.2,English,Film,United States
28,Aaj Tak,Link,60.1,Hindi,News,India
29,Dude Perfect,Link,59.9,English,Sports,United States
30,Wave Music,Link,59.7,Bhojpuri,Music,India
31,Sony Music India,Link,58.6,Hindi,Music,India
32,Eminem,Link,58,English,Music,United States
33,Infobells,Link,57.5,Hindi,Education,India
34,Yash Raj Films,Link,57.3,Hindi,Music,India
35,Marshmello,Link,56.7,English,Music,United States
36,LooLoo Kids,Link,55.6,English,Music,Romania
37,Taylor Swift,Link,55.5,English,Music,United States
38,BillionSurpriseToys,Link,54.3,English,Entertainment,United States
39,Ed Sheeran,Link,53.9,English,Music,United Kingdom
40,Ariana Grande,Link,53.1,English,Music,United States
41,Shemaroo,Link,50.2,Hindi,Entertainment,India
42,A4,Link,48.9,Russian,Entertainment,Belarus
43,ARY Digital HD,Link,48.9,Urdu,Entertainment,Pakistan
44,JuegaGerman,Link,48.9,Spanish,Entertainment,Chile
45,Billie Eilish,Link,48.8,English,Music,United States
46,Get Movies,Link,48.8,Russian,Entertainment,Russia
47,SonyMusicIndiaVEVO,Link,48.3,Hindi,Music,India
48,Toys and Colors,Link,48.2,English,Entertainment,United States
49,HAR PAL GEO,Link,48.1,Urdu,Entertainment,Pakistan
50,Bad Bunny,Link,47.2,Spanish,Music,Puerto Rico
